region;comuna;cut;1;2;3;4;5;6;7;8;9;10;11;12
Coquimbo;Los Vilos;4203; 4.712 ; 7.227 ; 4.986 ; 7.288 ; 360 ; 209 ; 274 ; 61 ; 141 ; 77 ; 775 ; 347 
Coquimbo;Salamanca;4204; 6.307 ; 8.754 ; 6.495 ; 8.895 ; 398 ; 400 ; 188 ; 141 ; 141 ; 114 ; 727 ; 655 
Coquimbo;Ovalle;4301; 25.977 ; 34.694 ; 27.005 ; 35.377 ; 1.808 ; 1.404 ; 1.028 ; 683 ; 831 ; 639 ; 3.667 ; 2.726 
Coquimbo;Combarbalá;4302; 4.248 ; 4.891 ; 4.305 ; 4.962 ; 520 ; 493 ; 57 ; 71 ; 108 ; 50 ; 685 ; 614 
Coquimbo;Monte Patria;4303; 8.341 ; 10.246 ; 8.629 ; 10.412 ; 1.114 ; 958 ; 288 ; 166 ; 196 ; 167 ; 1.598 ; 1.291 
Coquimbo;Punitaqui;4304; 2.683 ; 3.758 ; 2.746 ; 3.802 ; 355 ; 432 ; 63 ; 44 ; 93 ; 46 ; 511 ; 522 
Coquimbo;Río Hurtado;4305; 1.488 ; 1.687 ; 1.501 ; 1.699 ; 175 ; 184 ; 13 ; 12 ; 35 ; 12 ; 223 ; 208 
Valparaíso;Valparaíso;5101; 74.594 ; 97.809 ; 78.642 ; 101.236 ; 1.913 ; 4.065 ; 4.048 ; 3.427 ; 2.682 ; 1.532 ; 8.643 ; 9.024 
Valparaíso;Casablanca;5102; 5.871 ; 8.692 ; 6.013 ; 8.786 ; 393 ; 191 ; 142 ; 94 ; 138 ; 107 ; 673 ; 392 
Valparaíso;Concón;5103; 8.888 ; 13.700 ; 9.060 ; 13.932 ; 272 ; 225 ; 172 ; 232 ; 181 ; 119 ; 625 ; 576 
Valparaíso;Juan Fernández;5104; 207 ; 351 ; 212 ; 353 ; 10 ; 9 ; 5 ; 2 ; 6 ; 6 ; 21 ; 17 
Valparaíso;Puchuncaví;5105; 3.825 ; 6.372 ; 3.930 ; 6.434 ; 292 ; 177 ; 105 ; 62 ; 94 ; 66 ; 491 ; 305 
Valparaíso;Quilpué;5801; 36.231 ; 50.068 ; 37.529 ; 50.724 ; 955 ; 949 ; 1.298 ; 656 ; 845 ; 445 ; 3.098 ; 2.050 
Valparaíso;Quintero;5107; 6.093 ; 10.428 ; 6.233 ; 10.602 ; 409 ; 253 ; 140 ; 174 ; 126 ; 151 ; 675 ; 578 
Valparaíso;Villa Alemana;5804; 26.539 ; 40.625 ; 27.485 ; 41.078 ; 884 ; 788 ; 946 ; 453 ; 602 ; 417 ; 2.432 ; 1.658 
Valparaíso;Viña del Mar;5109; 81.785 ; 116.370 ; 85.130 ; 119.381 ; 1.763 ; 2.466 ; 3.345 ; 3.011 ; 1.956 ; 1.096 ; 7.064 ; 6.573 
