region;comuna;cut;1;2;3;4;5;6;7;8;9;10;11;12
O'Higgins;Lolol;6304; 1.630 ; 2.372 ; 1.704 ; 2.392 ; 67 ; 125 ; 74 ; 20 ; 58 ; 36 ; 199 ; 181 
O'Higgins;Nancagua;6305; 3.916 ; 5.761 ; 4.182 ; 5.870 ; 185 ; 193 ; 266 ; 109 ; 125 ; 59 ; 576 ; 361 
O'Higgins;Palmilla;6306; 2.692 ; 3.905 ; 2.889 ; 3.999 ; 172 ; 184 ; 197 ; 94 ; 103 ; 57 ; 472 ; 335 
O'Higgins;Peralillo;6307; 2.687 ; 3.698 ; 2.770 ; 3.765 ; 105 ; 151 ; 83 ; 67 ; 62 ; 26 ; 250 ; 244 
O'Higgins;Placilla;6308; 2.105 ; 2.753 ; 2.205 ; 2.809 ; 255 ; 207 ; 100 ; 56 ; 62 ; 53 ; 417 ; 316 
O'Higgins;Pumanque;6309; 914 ; 1.197 ; 966 ; 1.211 ; 63 ; 86 ; 52 ; 14 ; 30 ; 17 ; 145 ; 117 
O'Higgins;Santa Cruz;6310; 8.362 ; 12.423 ; 8.893 ; 12.707 ; 344 ; 392 ; 531 ; 284 ; 284 ; 161 ; 1.159 ; 837 
Maule;Talca;7101; 53.077 ; 71.529 ; 55.401 ; 73.292 ; 1.894 ; 832 ; 2.324 ; 1.763 ; 1.490 ; 855 ; 5.708 ; 3.450 
Maule;Constitución;7102; 11.978 ; 15.296 ; 12.553 ; 15.452 ; 760 ; 521 ; 575 ; 156 ; 316 ; 156 ; 1.651 ; 833 
Maule;Curepto;7103; 3.080 ; 3.578 ; 3.178 ; 3.618 ; 216 ; 434 ; 98 ; 40 ; 59 ; 25 ; 373 ; 499 
Maule;Empedrado;7104; 1.118 ; 1.423 ; 1.146 ; 1.456 ; 91 ; 128 ; 28 ; 33 ; 33 ; 12 ; 152 ; 173 
Maule;Maule;7105; 4.468 ; 15.743 ; 4.591 ; 15.859 ; 583 ; 294 ; 123 ; 116 ; 114 ; 190 ; 820 ; 600 
Maule;Pelarco;7106; 1.953 ; 2.748 ; 2.021 ; 2.772 ; 90 ; 132 ; 68 ; 24 ; 30 ; 40 ; 188 ; 196 
Maule;Pencahue;7107; 2.132 ; 2.838 ; 2.214 ; 2.859 ; 166 ; 237 ; 82 ; 21 ; 83 ; 29 ; 331 ; 287 
Maule;Río Claro;7108; 3.270 ; 4.724 ; 3.497 ; 4.752 ; 145 ; 211 ; 227 ; 28 ; 102 ; 61 ; 474 ; 300 
Maule;San Clemente;7109; 9.717 ; 14.095 ; 10.264 ; 14.209 ; 520 ; 535 ; 547 ; 114 ; 284 ; 194 ; 1.351 ; 843 
Maule;San Rafael;7110; 2.013 ; 3.035 ; 2.132 ; 3.047 ; 148 ; 131 ; 119 ; 12 ; 56 ; 48 ; 323 ; 191 
Maule;Cauquenes;7201; 11.734 ; 14.189 ; 12.154 ; 14.323 ; 297 ; 519 ; 420 ; 134 ; 285 ; 214 ; 1.002 ; 867 
Maule;Chanco;7202; 2.427 ; 3.015 ; 2.503 ; 3.042 ; 89 ; 236 ; 76 ; 27 ; 71 ; 44 ; 236 ; 307 
Maule;Pelluhue;7203; 1.839 ; 2.770 ; 1.896 ; 2.802 ; 106 ; 99 ; 57 ; 32 ; 20 ; 14 ; 183 ; 145 
Maule;Curicó;7301; 31.566 ; 48.762 ; 33.584 ; 49.629 ; 1.293 ; 775 ; 2.018 ; 867 ; 1.073 ; 667 ; 4.384 ; 2.309 
Maule;Hualañé;7302; 2.650 ; 3.437 ; 2.768 ; 3.499 ; 170 ; 199 ; 118 ; 62 ; 66 ; 29 ; 354 ; 290 
Maule;Licantén;7303; 1.829 ; 2.347 ; 1.866 ; 2.370 ; 169 ; 156 ; 37 ; 23 ; 47 ; 24 ; 253 ; 203 
Maule;Molina;7304; 9.844 ; 15.059 ; 10.647 ; 15.301 ; 478 ; 319 ; 803 ; 242 ; 414 ; 254 ; 1.695 ; 815 
Maule;Rauco;7305; 2.284 ; 3.620 ; 2.427 ; 3.654 ; 178 ; 136 ; 143 ; 34 ; 63 ; 52 ; 384 ; 222 
Maule;Romeral;7306; 3.154 ; 4.844 ; 3.396 ; 4.906 ; 299 ; 213 ; 242 ; 62 ; 129 ; 77 ; 670 ; 352 
Maule;Sagrada Familia;7307; 4.520 ; 6.037 ; 4.760 ; 6.099 ; 278 ; 295 ; 240 ; 62 ; 161 ; 70 ; 679 ; 427 
Maule;Teno;7308; 6.405 ; 9.430 ; 6.875 ; 9.531 ; 583 ; 360 ; 470 ; 101 ; 211 ; 149 ; 1.264 ; 610 
Maule;Vichuquén;7309; 1.410 ; 1.708 ; 1.443 ; 1.717 ; 134 ; 129 ; 33 ; 9 ; 31 ; 8 ; 198 ; 146 
Maule;Linares;7401; 22.075 ; 31.014 ; 23.214 ; 31.442 ; 840 ; 700 ; 1.139 ; 428 ; 572 ; 388 ; 2.551 ; 1.516 
Maule;Colbún;7402; 4.752 ; 7.068 ; 5.002 ; 7.124 ; 185 ; 254 ; 250 ; 56 ; 97 ; 68 ; 532 ; 378 
Maule;Longaví;7403; 7.333 ; 10.060 ; 7.639 ; 10.155 ; 424 ; 628 ; 306 ; 95 ; 218 ; 152 ; 948 ; 875 
Maule;Parral;7404; 10.064 ; 14.497 ; 10.654 ; 14.607 ; 345 ; 423 ; 590 ; 110 ; 284 ; 148 ; 1.219 ; 681 
Maule;Retiro;7405; 4.841 ; 6.910 ; 5.093 ; 6.948 ; 199 ; 298 ; 252 ; 38 ; 114 ; 79 ; 565 ; 415 
Maule;San Javier;7406; 10.307 ; 15.173 ; 10.735 ; 15.311 ; 457 ; 410 ; 428 ; 138 ; 317 ; 186 ; 1.202 ; 734 
Maule;Villa Alegre;7407; 4.062 ; 5.670 ; 4.209 ; 5.722 ; 210 ; 148 ; 147 ; 52 ; 122 ; 70 ; 479 ; 270 
Maule;Yerbas Buenas;7408; 4.167 ; 5.924 ; 4.332 ; 6.011 ; 400 ; 303 ; 165 ; 87 ; 129 ; 66 ; 694 ; 456 
Ñuble;Chillán;16101; 42.403 ; 60.469 ; 44.775 ; 61.529 ; 1.179 ; 1.022 ; 2.372 ; 1.060 ; 1.236 ; 616 ; 4.787 ; 2.698 
Ñuble;Bulnes;16102; 5.487 ; 7.090 ; 5.629 ; 7.179 ; 255 ; 338 ; 142 ; 89 ; 138 ; 91 ; 535 ; 518 
Ñuble;Chillán Viejo;16103; 5.966 ; 10.041 ; 6.171 ; 10.145 ; 404 ; 294 ; 205 ; 104 ; 131 ; 105 ; 740 ; 503 
Ñuble;El Carmen;16104; 3.391 ; 4.075 ; 3.477 ; 4.110 ; 105 ; 294 ; 86 ; 35 ; 50 ; 27 ; 241 ; 356 
Ñuble;Pemuco;16105; 2.189 ; 2.776 ; 2.290 ; 2.795 ; 262 ; 206 ; 101 ; 19 ; 43 ; 34 ; 406 ; 259 
Ñuble;Pinto;16106; 2.654 ; 3.750 ; 2.719 ; 3.778 ; 139 ; 135 ; 65 ; 28 ; 55 ; 12 ; 259 ; 175 
Ñuble;Quillón;16107; 4.378 ; 6.362 ; 4.481 ; 6.417 ; 231 ; 369 ; 103 ; 55 ; 83 ; 51 ; 417 ; 475 
Ñuble;San Ignacio;16108; 4.341 ; 5.580 ; 4.450 ; 5.623 ; 236 ; 344 ; 109 ; 43 ; 63 ; 46 ; 408 ; 433 
Ñuble;Yungay;16109; 4.621 ; 6.267 ; 4.794 ; 6.303 ; 255 ; 193 ; 173 ; 36 ; 91 ; 51 ; 519 ; 280 
Ñuble;Quirihue;16201; 3.062 ; 4.274 ; 3.175 ; 4.305 ; 103 ; 242 ; 113 ; 31 ; 81 ; 27 ; 297 ; 300 
Ñuble;Cobquecura;16202; 1.641 ; 1.944 ; 1.666 ; 1.966 ; 125 ; 149 ; 25 ; 22 ; 22 ; 14 ; 172 ; 185 
Ñuble;Coelemu;16203; 4.304 ; 5.233 ; 4.485 ; 5.290 ; 176 ; 209 ; 181 ; 57 ; 113 ; 52 ; 470 ; 318 
Ñuble;Ninhue;16204; 1.647 ; 1.901 ; 1.676 ; 1.911 ; 49 ; 144 ; 29 ; 10 ; 32 ; 13 ; 110 ; 167 
Ñuble;Portezuelo;16205; 1.482 ; 1.726 ; 1.529 ; 1.750 ; 74 ; 190 ; 47 ; 24 ; 33 ; 15 ; 154 ; 229 
Ñuble;Ránquil;16206; 1.637 ; 2.099 ; 1.673 ; 2.112 ; 94 ; 148 ; 36 ; 13 ; 34 ; 17 ; 164 ; 178 
Ñuble;Treguaco;16207; 1.525 ; 1.982 ; 1.557 ; 1.997 ; 124 ; 119 ; 32 ; 15 ; 23 ; 14 ; 179 ; 148 
Ñuble;San Carlos;16301; 13.070 ; 18.124 ; 13.844 ; 18.274 ; 430 ; 511 ; 774 ; 150 ; 379 ; 197 ; 1.583 ; 858 
Ñuble;Coihueco;16302; 6.106 ; 8.605 ; 6.242 ; 8.688 ; 353 ; 320 ; 136 ; 83 ; 136 ; 65 ; 625 ; 468 
Ñuble;Ñiquén;16303; 3.266 ; 4.004 ; 3.356 ; 4.041 ; 180 ; 229 ; 90 ; 37 ; 49 ; 31 ; 319 ; 297 
Ñuble;San Fabián;16304; 979 ; 1.512 ; 1.007 ; 1.536 ; 36 ; 115 ; 28 ; 24 ; 17 ; 14 ; 81 ; 153 
Ñuble;San Nicolás;16305; 2.703 ; 3.958 ; 2.764 ; 3.989 ; 203 ; 168 ; 61 ; 31 ; 69 ; 42 ; 333 ; 241 
Biobío;Concepción;8101; 56.515 ; 75.147 ; 59.848 ; 78.628 ; 2.211 ; 1.510 ; 3.333 ; 3.481 ; 1.307 ; 680 ; 6.851 ; 5.671 
Biobío;Coronel;8102; 24.760 ; 36.299 ; 25.622 ; 36.620 ; 619 ; 588 ; 862 ; 321 ; 669 ; 411 ; 2.150 ; 1.320 
Biobío;Chiguayante;8103; 20.795 ; 26.552 ; 21.608 ; 26.874 ; 489 ; 468 ; 813 ; 322 ; 505 ; 301 ; 1.807 ; 1.091 
Biobío;Florida;8104; 2.829 ; 3.704 ; 2.882 ; 3.718 ; 150 ; 255 ; 53 ; 14 ; 41 ; 17 ; 244 ; 286 
Biobío;Hualqui;8105; 4.975 ; 7.667 ; 5.109 ; 7.754 ; 255 ; 303 ; 134 ; 87 ; 132 ; 112 ; 521 ; 502 
Biobío;Lota;8106; 12.465 ; 13.658 ; 12.988 ; 13.824 ; 556 ; 491 ; 523 ; 166 ; 474 ; 256 ; 1.553 ; 913 
Biobío;Penco;8107; 11.710 ; 14.627 ; 12.175 ; 14.811 ; 422 ; 489 ; 465 ; 184 ; 369 ; 263 ; 1.256 ; 936 
Biobío;San Pedro de la Paz;8108; 20.674 ; 41.674 ; 21.379 ; 42.010 ; 710 ; 417 ; 705 ; 336 ; 496 ; 446 ; 1.911 ; 1.199 
Biobío;Santa Juana;8109; 3.476 ; 4.724 ; 3.555 ; 4.747 ; 164 ; 136 ; 79 ; 23 ; 33 ; 41 ; 276 ; 200 
Biobío;Talcahuano;8110; 42.325 ; 46.589 ; 44.527 ; 47.473 ; 1.363 ; 1.068 ; 2.202 ; 884 ; 1.164 ; 600 ; 4.729 ; 2.552 
Biobío;Tomé;8111; 13.746 ; 18.134 ; 14.451 ; 18.319 ; 568 ; 683 ; 705 ; 185 ; 417 ; 197 ; 1.690 ; 1.065 
Biobío;Hualpén;8112; 19.551 ; 28.645 ; 21.023 ; 29.207 ; 296 ; 295 ; 1.472 ; 562 ; 729 ; 383 ; 2.497 ; 1.240 
Biobío;Lebu;8201; 6.137 ; 7.938 ; 6.417 ; 8.023 ; 273 ; 232 ; 280 ; 85 ; 205 ; 137 ; 758 ; 454 
Biobío;Arauco;8202; 8.753 ; 11.520 ; 9.138 ; 11.663 ; 494 ; 387 ; 385 ; 143 ; 222 ; 109 ; 1.101 ; 639 
Biobío;Cañete;8203; 7.975 ; 11.126 ; 8.150 ; 11.256 ; 335 ; 283 ; 175 ; 130 ; 161 ; 98 ; 671 ; 511 
Biobío;Contulmo;8204; 1.634 ; 2.046 ; 1.660 ; 2.075 ; 105 ; 64 ; 26 ; 29 ; 15 ; 12 ; 146 ; 105 
Biobío;Curanilahue;8205; 7.907 ; 10.209 ; 8.355 ; 10.321 ; 265 ; 252 ; 448 ; 112 ; 242 ; 123 ; 955 ; 487 
Biobío;Los Álamos;8206; 4.628 ; 6.772 ; 4.754 ; 6.843 ; 201 ; 195 ; 126 ; 71 ; 133 ; 72 ; 460 ; 338 
Biobío;Tirúa;8207; 2.411 ; 3.313 ; 2.471 ; 3.351 ; 252 ; 136 ; 60 ; 38 ; 30 ; 30 ; 342 ; 204 
Biobío;Los Ángeles;8301; 41.924 ; 64.612 ; 44.634 ; 65.229 ; 1.662 ; 1.460 ; 2.710 ; 617 ; 1.496 ; 765 ; 5.868 ; 2.842 
Biobío;Antuco;8302; 1.104 ; 1.424 ; 1.120 ; 1.437 ; 60 ; 91 ; 16 ; 13 ; 13 ; 13 ; 89 ; 117 
Biobío;Cabrero;8303; 6.689 ; 9.451 ; 6.897 ; 9.523 ; 422 ; 265 ; 208 ; 72 ; 153 ; 83 ; 783 ; 420 
Biobío;Laja;8304; 6.057 ; 7.514 ; 6.281 ; 7.575 ; 523 ; 331 ; 224 ; 61 ; 115 ; 74 ; 862 ; 466 
Biobío;Mulchén;8305; 7.322 ; 9.418 ; 7.627 ; 9.521 ; 335 ; 256 ; 305 ; 103 ; 221 ; 109 ; 861 ; 468 
Biobío;Nacimiento;8306; 6.735 ; 8.475 ; 7.002 ; 8.543 ; 293 ; 334 ; 267 ; 68 ; 126 ; 65 ; 686 ; 467 
Biobío;Negrete;8307; 2.223 ; 3.107 ; 2.279 ; 3.131 ; 123 ; 124 ; 56 ; 24 ; 56 ; 35 ; 235 ; 183 
Biobío;Quilaco;8308; 1.170 ; 1.443 ; 1.187 ; 1.446 ; 68 ; 73 ; 17 ; 3 ; 14 ; 16 ; 99 ; 92 
Biobío;Quilleco;8309; 2.839 ; 3.248 ; 2.898 ; 3.267 ; 83 ; 179 ; 59 ; 19 ; 42 ; 36 ; 184 ; 234 
Biobío;San Rosendo;8310; 1.043 ; 1.210 ; 1.085 ; 1.224 ; 126 ; 110 ; 42 ; 14 ; 20 ; 10 ; 188 ; 134 
Biobío;Santa Bárbara;8311; 3.284 ; 4.557 ; 3.399 ; 4.594 ; 192 ; 213 ; 115 ; 37 ; 66 ; 42 ; 373 ; 292 
Biobío;Tucapel;8312; 3.556 ; 4.936 ; 3.602 ; 4.975 ; 99 ; 136 ; 46 ; 39 ; 61 ; 22 ; 206 ; 197 
Biobío;Yumbel;8313; 5.641 ; 7.419 ; 5.837 ; 7.482 ; 275 ; 531 ; 196 ; 63 ; 152 ; 72 ; 623 ; 666 
Biobío;Alto Biobío;8314; 1.274 ; 1.757 ; 1.298 ; 1.777 ; 180 ; 329 ; 24 ; 20 ; 30 ; 26 ; 234 ; 375 
La Araucanía;Temuco;9101; 63.113 ; 92.313 ; 67.110 ; 94.533 ; 2.595 ; 2.234 ; 3.997 ; 2.220 ; 1.521 ; 1.005 ; 8.113 ; 5.459 
La Araucanía;Carahue;9102; 6.526 ; 7.895 ; 6.718 ; 7.946 ; 440 ; 521 ; 192 ; 51 ; 121 ; 89 ; 753 ; 661 
La Araucanía;Cunco;9103; 5.031 ; 6.050 ; 5.105 ; 6.113 ; 185 ; 291 ; 74 ; 63 ; 67 ; 49 ; 326 ; 403 
La Araucanía;Curarrehue;9104; 1.803 ; 2.475 ; 1.827 ; 2.486 ; 128 ; 162 ; 24 ; 11 ; 31 ; 21 ; 183 ; 194 
La Araucanía;Freire;9105; 6.811 ; 8.080 ; 6.927 ; 8.157 ; 342 ; 503 ; 116 ; 77 ; 131 ; 102 ; 589 ; 682 
La Araucanía;Galvarino;9106; 3.166 ; 3.783 ; 3.239 ; 3.811 ; 181 ; 237 ; 73 ; 28 ; 66 ; 39 ; 320 ; 304 
La Araucanía;Gorbea;9107; 4.388 ; 5.082 ; 4.500 ; 5.167 ; 285 ; 227 ; 112 ; 85 ; 63 ; 69 ; 460 ; 381 
La Araucanía;Lautaro;9108; 8.280 ; 12.016 ; 8.475 ; 12.146 ; 409 ; 446 ; 195 ; 130 ; 203 ; 154 ; 807 ; 730 
La Araucanía;Loncoche;9109; 6.527 ; 8.201 ; 6.634 ; 8.266 ; 375 ; 334 ; 107 ; 65 ; 81 ; 85 ; 563 ; 484 
La Araucanía;Melipeuco;9110; 1.602 ; 2.106 ; 1.645 ; 2.133 ; 78 ; 119 ; 43 ; 27 ; 18 ; 7 ; 139 ; 153 
La Araucanía;Nueva Imperial;9111; 7.949 ; 10.364 ; 8.334 ; 10.442 ; 453 ; 506 ; 385 ; 78 ; 224 ; 157 ; 1.062 ; 741 
La Araucanía;Padre Las Casas;9112; 14.737 ; 23.142 ; 15.279 ; 23.378 ; 822 ; 720 ; 542 ; 236 ; 448 ; 341 ; 1.812 ; 1.297 
La Araucanía;Perquenco;9113; 1.780 ; 2.314 ; 1.809 ; 2.336 ; 93 ; 112 ; 29 ; 22 ; 46 ; 24 ; 168 ; 158 
La Araucanía;Pitrufquén;9114; 6.207 ; 8.487 ; 6.426 ; 8.557 ; 230 ; 367 ; 219 ; 70 ; 141 ; 102 ; 590 ; 539 
La Araucanía;Pucón;9115; 5.621 ; 9.339 ; 5.778 ; 9.444 ; 264 ; 317 ; 157 ; 105 ; 144 ; 110 ; 565 ; 532 
La Araucanía;Saavedra;9116; 3.694 ; 4.292 ; 3.769 ; 4.326 ; 273 ; 373 ; 75 ; 34 ; 58 ; 48 ; 406 ; 455 
La Araucanía;Teodoro Schmidt;9117; 4.435 ; 5.349 ; 4.510 ; 5.394 ; 194 ; 439 ; 75 ; 45 ; 94 ; 41 ; 363 ; 525 
La Araucanía;Toltén;9118; 3.061 ; 3.341 ; 3.101 ; 3.369 ; 191 ; 221 ; 40 ; 28 ; 35 ; 21 ; 266 ; 270 
La Araucanía;Vilcún;9119; 6.046 ; 9.127 ; 6.150 ; 9.205 ; 254 ; 329 ; 104 ; 78 ; 82 ; 68 ; 440 ; 475 
La Araucanía;Villarrica;9120; 12.314 ; 18.368 ; 12.819 ; 18.576 ; 593 ; 691 ; 505 ; 208 ; 246 ; 253 ; 1.344 ; 1.152 
La Araucanía;Cholchol;9121; 2.241 ; 3.564 ; 2.265 ; 3.603 ; 127 ; 227 ; 24 ; 39 ; 46 ; 52 ; 197 ; 318 
La Araucanía;Angol;9201; 12.858 ; 17.008 ; 13.337 ; 17.243 ; 337 ; 499 ; 479 ; 235 ; 344 ; 275 ; 1.160 ; 1.009 
La Araucanía;Collipulli;9202; 5.956 ; 8.016 ; 6.194 ; 8.099 ; 215 ; 596 ; 238 ; 83 ; 133 ; 96 ; 586 ; 775 
La Araucanía;Curacautín;9203; 4.923 ; 6.083 ; 5.022 ; 6.114 ; 168 ; 233 ; 99 ; 31 ; 70 ; 56 ; 337 ; 320 
La Araucanía;Ercilla;9204; 2.331 ; 2.514 ; 2.391 ; 2.535 ; 182 ; 200 ; 60 ; 21 ; 43 ; 50 ; 285 ; 271 
La Araucanía;Lonquimay;9205; 2.808 ; 3.360 ; 2.826 ; 3.387 ; 151 ; 257 ; 18 ; 27 ; 41 ; 29 ; 210 ; 313 
La Araucanía;Los Sauces;9206; 2.043 ; 2.467 ; 2.109 ; 2.476 ; 69 ; 129 ; 66 ; 9 ; 46 ; 19 ; 181 ; 157 
La Araucanía;Lumaco;9207; 2.943 ; 3.216 ; 3.010 ; 3.235 ; 219 ; 265 ; 67 ; 19 ; 96 ; 24 ; 382 ; 308 
La Araucanía;Purén;9208; 3.476 ; 3.970 ; 3.564 ; 3.993 ; 133 ; 170 ; 88 ; 23 ; 72 ; 54 ; 293 ; 247 
La Araucanía;Renaico;9209; 2.435 ; 3.392 ; 2.516 ; 3.412 ; 105 ; 105 ; 81 ; 20 ; 66 ; 48 ; 252 ; 173 
La Araucanía;Traiguén;9210; 5.272 ; 6.258 ; 5.468 ; 6.323 ; 215 ; 237 ; 196 ; 65 ; 123 ; 106 ; 534 ; 408 
La Araucanía;Victoria;9211; 9.206 ; 11.207 ; 9.458 ; 11.320 ; 317 ; 466 ; 252 ; 113 ; 185 ; 144 ; 754 ; 723 
Los Ríos;Valdivia;14101; 36.727 ; 53.624 ; 39.205 ; 54.927 ; 1.676 ; 3.749 ; 2.478 ; 1.303 ; 961 ; 629 ; 5.115 ; 5.681 
Los Ríos;Corral;14102; 1.566 ; 1.842 ; 1.590 ; 1.861 ; 96 ; 293 ; 24 ; 19 ; 29 ; 21 ; 149 ; 333 
Los Ríos;Lanco;14103; 4.078 ; 5.643 ; 4.202 ; 5.694 ; 181 ; 266 ; 124 ; 51 ; 48 ; 49 ; 353 ; 366 
Los Ríos;Los Lagos;14104; 5.327 ; 6.446 ; 5.448 ; 6.529 ; 248 ; 409 ; 121 ; 83 ; 92 ; 65 ; 461 ; 557 
Los Ríos;Máfil;14105; 1.933 ; 2.317 ; 1.970 ; 2.336 ; 113 ; 202 ; 37 ; 19 ; 37 ; 30 ; 187 ; 251 
Los Ríos;Mariquina;14106; 4.757 ; 6.808 ; 4.894 ; 6.897 ; 334 ; 633 ; 137 ; 89 ; 97 ; 85 ; 568 ; 807 
Los Ríos;Paillaco;14107; 5.146 ; 6.476 ; 5.305 ; 6.510 ; 283 ; 508 ; 159 ; 34 ; 121 ; 92 ; 563 ; 634 
Los Ríos;Panguipulli;14108; 9.040 ; 11.615 ; 9.245 ; 11.716 ; 509 ; 610 ; 205 ; 101 ; 170 ; 95 ; 884 ; 806 
Los Ríos;La Unión;14201; 10.365 ; 12.831 ; 10.807 ; 12.916 ; 671 ; 730 ; 442 ; 85 ; 262 ; 139 ; 1.375 ; 954 
Los Ríos;Futrono;14202; 3.901 ; 4.880 ; 3.998 ; 4.923 ; 200 ; 455 ; 97 ; 43 ; 86 ; 50 ; 383 ; 548 
Los Ríos;Lago Ranco;14203; 2.791 ; 3.533 ; 2.848 ; 3.545 ; 177 ; 390 ; 57 ; 12 ; 26 ; 25 ; 260 ; 427 
Los Ríos;Río Bueno;14204; 9.294 ; 11.051 ; 9.516 ; 11.130 ; 508 ; 830 ; 222 ; 79 ; 195 ; 133 ; 925 ; 1.042 
Los Lagos;Puerto Montt;10101; 44.572 ; 78.820 ; 46.939 ; 79.887 ; 2.390 ; 4.915 ; 2.367 ; 1.067 ; 1.601 ; 827 ; 6.358 ; 6.809 
Los Lagos;Calbuco;10102; 8.073 ; 11.146 ; 8.245 ; 11.196 ; 238 ; 1.406 ; 172 ; 50 ; 216 ; 86 ; 626 ; 1.542 
Los Lagos;Cochamó;10103; 1.288 ; 1.600 ; 1.296 ; 1.605 ; 63 ; 97 ; 8 ; 5 ; 19 ; 7 ; 90 ; 109 
Los Lagos;Fresia;10104; 3.554 ; 4.356 ; 3.666 ; 4.375 ; 136 ; 281 ; 112 ; 19 ; 71 ; 39 ; 319 ; 339 
Los Lagos;Frutillar;10105; 4.146 ; 6.267 ; 4.263 ; 6.291 ; 204 ; 370 ; 117 ; 24 ; 93 ; 68 ; 414 ; 462 
Los Lagos;Los Muermos;10106; 4.567 ; 5.990 ; 4.665 ; 5.998 ; 185 ; 559 ; 98 ; 8 ; 132 ; 52 ; 415 ; 619 
Los Lagos;Llanquihue;10107; 4.279 ; 5.550 ; 4.427 ; 5.618 ; 183 ; 312 ; 148 ; 68 ; 114 ; 78 ; 445 ; 458 
Los Lagos;Maullín;10108; 4.413 ; 5.112 ; 4.466 ; 5.123 ; 208 ; 623 ; 53 ; 11 ; 64 ; 24 ; 325 ; 658 
Los Lagos;Puerto Varas;10109; 8.464 ; 14.231 ; 8.863 ; 14.382 ; 290 ; 813 ; 399 ; 151 ; 352 ; 153 ; 1.041 ; 1.117 
Los Lagos;Castro;10201; 10.076 ; 14.454 ; 10.468 ; 14.600 ; 260 ; 1.171 ; 392 ; 146 ; 295 ; 111 ; 947 ; 1.428 
Los Lagos;Ancud;10202; 10.954 ; 13.361 ; 11.223 ; 13.453 ; 296 ; 1.610 ; 269 ; 92 ; 189 ; 119 ; 754 ; 1.821 
Los Lagos;Chonchi;10203; 3.295 ; 5.045 ; 3.372 ; 5.082 ; 103 ; 626 ; 77 ; 37 ; 95 ; 26 ; 275 ; 689 
Los Lagos;Curaco de Vélez;10204; 886 ; 1.309 ; 890 ; 1.314 ; 14 ; 118 ; 4 ; 5 ; 15 ; 6 ; 33 ; 129 
Los Lagos;Dalcahue;10205; 2.805 ; 4.530 ; 2.833 ; 4.546 ; 77 ; 452 ; 28 ; 16 ; 63 ; 29 ; 168 ; 497 
Los Lagos;Puqueldón;10206; 1.107 ; 1.335 ; 1.112 ; 1.340 ; 32 ; 59 ; 5 ; 5 ; 19 ; 7 ; 56 ; 71 
Los Lagos;Queilén;10207; 1.401 ; 1.858 ; 1.413 ; 1.870 ; 36 ; 195 ; 12 ; 12 ; 19 ; 7 ; 67 ; 214 
Los Lagos;Quellón;10208; 5.546 ; 9.080 ; 5.763 ; 9.184 ; 324 ; 923 ; 217 ; 104 ; 206 ; 58 ; 747 ; 1.085 
Los Lagos;Quemchi;10209; 2.381 ; 3.010 ; 2.392 ; 3.023 ; 52 ; 283 ; 11 ; 13 ; 31 ; 9 ; 94 ; 305 
Los Lagos;Quinchao;10210; 2.306 ; 2.754 ; 2.343 ; 2.769 ; 67 ; 341 ; 37 ; 15 ; 47 ; 11 ; 151 ; 367 
Los Lagos;Osorno;10301; 39.045 ; 53.821 ; 41.316 ; 54.391 ; 1.488 ; 2.531 ; 2.271 ; 570 ; 1.236 ; 773 ; 4.995 ; 3.874 
Los Lagos;Puerto Octay;10302; 2.686 ; 2.988 ; 2.789 ; 3.002 ; 157 ; 244 ; 103 ; 14 ; 84 ; 51 ; 344 ; 309 
Los Lagos;Purranque;10303; 5.706 ; 6.786 ; 5.902 ; 6.853 ; 248 ; 445 ; 196 ; 67 ; 125 ; 90 ; 569 ; 602 
Los Lagos;Puyehue;10304; 3.011 ; 3.788 ; 3.071 ; 3.806 ; 129 ; 259 ; 60 ; 18 ; 73 ; 61 ; 262 ; 338 
Los Lagos;Río Negro;10305; 4.206 ; 4.801 ; 4.315 ; 4.850 ; 198 ; 467 ; 109 ; 49 ; 83 ; 53 ; 390 ; 569 
Los Lagos;San Juan de la Costa;10306; 2.623 ; 2.846 ; 2.638 ; 2.865 ; 332 ; 368 ; 15 ; 19 ; 58 ; 30 ; 405 ; 417 
Los Lagos;San Pablo;10307; 2.939 ; 3.533 ; 2.974 ; 3.555 ; 168 ; 281 ; 35 ; 22 ; 62 ; 47 ; 265 ; 350 
Los Lagos;Chaitén;10401; 1.837 ; 1.625 ; 1.866 ; 1.665 ; 85 ; 92 ; 29 ; 40 ; 25 ; 3 ; 139 ; 135 
Los Lagos;Futaleufú;10402; 588 ; 1.002 ; 588 ; 1.009 ; 31 ; 22 ; - ; 7 ; 4 ; 3 ; 35 ; 32 
Los Lagos;Hualaihué;10403; 2.199 ; 3.093 ; 2.233 ; 3.112 ; 76 ; 358 ; 34 ; 19 ; 58 ; 14 ; 168 ; 391 
Los Lagos;Palena;10404; 552 ; 715 ; 555 ; 718 ; 36 ; 37 ; 3 ; 3 ; 2 ; - ; 41 ; 40 
Aysén;Coyhaique;11101; 13.580 ; 19.501 ; 13.996 ; 19.612 ; 651 ; 496 ; 416 ; 111 ; 309 ; 223 ; 1.376 ; 830 
Aysén;Lago Verde;11102; 335 ; 366 ; 336 ; 367 ; 20 ; 12 ; 1 ; 1 ; 7 ; 3 ; 28 ; 16 
Aysén;Aysén;11201; 5.781 ; 7.561 ; 6.045 ; 7.609 ; 218 ; 349 ; 264 ; 48 ; 199 ; 87 ; 681 ; 484 
